id,name,years,year_of_birth,year_of_death,genre,nationality,bio,wikipedia,number_of_paintings,changes in number of paintings
0,Amedeo Modigliani,1884 - 1920,1884,1920,Expressionism,Italian,"Amedeo Clemente Modigliani was an Italian Jewish painter and sculptor who worked mainly in France. He is known for portraits and nudes in a modern style characterized by elongation of faces, necks, and figures that were not received well during his lifetime but later found acceptance. Modigliani spent his youth in Italy, where he studied the art of antiquity and the Renaissance. In 1906 he moved to Paris, where he came into contact with such artists as Pablo Picasso and Constantin Brancusi. By 1912 Modigliani was exhibiting highly stylized sculptures with Cubists of the Section d'Or group at the Salon d'Automne.",http://en.wikipedia.org/wiki/Amedeo_Modigliani,85,
1,Vasiliy Kandinskiy,1866 - 1944,1866,1944,Expressionism,Russian-French,"Vassily Kandinsky was a Russian painter and art theorist. Kandinsky is generally credited as the pioneer of abstract art. Kandinsky began painting studies (life-drawing, sketching and anatomy) at the age of 30. In 1896, Kandinsky settled in Munich, studying first at Anton A??be's private school and then at the Academy of Fine Arts. He returned to Moscow in 1914, after the outbreak of World War I. Following the Russian Revolution, Kandinsky helped establish the Museum of the Culture of Painting. However, by then ""his spiritual outlook... was foreign to the argumentative materialism of Soviet society"", and opportunities beckoned in Germany, to which he returned in 1920. There he taught at the Bauhaus school of art and architecture from 1922 until the Nazis closed it in 1933. He then moved to France, where he lived for the rest of his life, becoming a French citizen in 1939 and producing some of his most prominent art. ",http://en.wikipedia.org/wiki/Wassily_Kandinsky,43,from 44 to 43
2,Diego Rivera,1886 - 1957,1886,1957,Muralism,Mexican,"Diego Rivera was a prominent Mexican painter. His large frescoes helped establish the Mexican mural movement in Mexican art. Between 1922 and 1953, Rivera painted murals in, among other places, Mexico City, Chapingo, Cuernavaca, San Francisco, Detroit, and New York City. In 1931, a retrospective exhibition of his works was held at the Museum of Modern Art in New York. Rivera had a volatile marriage with fellow Mexican artist Frida Kahlo.",http://en.wikipedia.org/wiki/Diego_Rivera,30,changed from 31 to 30
3,Claude Monet,1840 - 1926,1840,1926,Impressionism,French,"Oscar-Claude Monet was a French painter, a founder of French Impressionist painting and the most consistent and prolific practitioner of the movement's philosophy of expressing one's perceptions before nature, especially as applied to plein air landscape painting. The term ""Impressionism"" is derived from the title of his painting Impression, soleil levant (Impression, Sunrise), which was exhibited in 1874 in the first of the independent exhibitions mounted by Monet and his associates as an alternative to the Salon de Paris.Monet's ambition of documenting the French countryside led him to adopt a method of painting the same scene many times in order to capture the changing of light and the passing of the seasons. From 1883, Monet lived in Giverny, where he purchased a house and property and began a vast landscaping project which included lily ponds that would become the subjects of his best-known works",http://en.wikipedia.org/wiki/Claude_Monet,32,
4,Rene Magritte,1898 - 1967,1898,1967,Surrealism,Belgian,"Rene Magritte was a Belgian Surrealist artist. He became well known for creating a number of witty and thought-provoking images. Often depicting ordinary objects in an unusual context, his work is known for challenging observers' preconditioned perceptions of reality. His imagery has influenced pop art, minimalist art and conceptual art.",https://en.wikipedia.org/wiki/Ren%C3%A9_Magritte,97,
5,Salvador Dali,1904 - 1989,1904,1989,Surrealism,Spanish,"Salvador Dal?? was a Spanish Surrealist painter born in Figueres, Catalonia, Spain. Dal?? was a skilled draftsman, best known for the striking and bizarre images in his work. His painterly skills are often attributed to the influence of Renaissance masters. His best-known work, The Persistence of Memory, was completed in August, 1931, and is one of the most recognizable Surrealist paintings. Dal??'s expansive artistic repertoire included film, sculpture, and photography, at times in collaboration with a range of artists in a variety of media. ",https://en.wikipedia.org/wiki/Salvador_Dal%C3%AD,70,
6,Edouard Manet,1832 - 1883,1832,1883,"Realism,Impressionism",French,"Edouard Manet was a French modernist painter. He was one of the first 19th-century artists to paint modern life, and a pivotal figure in the transition from Realism to Impressionism. His early masterworks, The Luncheon on the Grass and Olympia, both 1863, caused great controversy and served as rallying points for the young painters who would create Impressionism. Today, these are considered watershed paintings that mark the start of modern art. The last 20 years of Manet's life saw him form bonds with other great artists of the time, and develop his own style that would be heralded as innovative and serve as a major influence for future painters.",https://en.wikipedia.org/wiki/%C3%89douard_Manet,44,changed from 45 to 44
7,Andrei Rublev,1360 - 1430,1360,1430,Byzantine Art,Russian,"Andrei Rublev was born in the 1360s, he died between 1427 and 1430 in Moscow and is considered to be one of the greatest medieval Russian painters of Orthodox icons and frescos. The Russian Orthodox Church canonized Rublev as a saint in 1988, celebrating his feast day on 29 January and/or on 4 July. The liturgical calendar of the Episcopal Church in the United States of America remembers Rublev on January 29.",http://en.wikipedia.org/wiki/Andrei_Rublev,43,changed from 44 to 43
8,Vincent van Gogh,1853 - 1890,1853,1890,Post-Impressionism,Dutch,"Vincent Willem van Gogh was a Dutch post-impressionist painter who is among the most famous and influential figures in the history of Western art. In just over a decade he created about 2,100 artworks, including around 860 oil paintings, most of which date from the last two years of his life. They include landscapes, still lives, portraits and self-portraits, and are characterized by bold colors and dramatic, impulsive and expressive brushwork that contributed to the foundations of modern art. He was not commercially successful, and his suicide at 37 came after years of mental illness and poverty.",http://en.wikipedia.org/wiki/Vincent_van_Gogh,439,
9,Gustav Klimt,1862 - 1918,1862,1918,"Symbolism,Art Nouveau",Austrian,"Gustav Klimt (July 14, 1862 ?�? February 6, 1918) was an Austrian symbolist painter and one of the most prominent members of the Vienna Secession movement. Klimt is noted for his paintings, murals, sketches, and other objets d'art. Klimt's primary subject was the female body, and his works are marked by a frank eroticism. In addition to his figurative works, which include allegories and portraits, he painted landscapes. Among the artists of the Vienna Secession, Klimt was the most influenced by Japanese art and its methods.",http://en.wikipedia.org/wiki/Gustav_Klimt,58,from 59 to 58
