id,filename,color1-H,color1-S,color1-V,area1,color2-H,color2-S,color2-V,area2,color3-H,color3-S,color3-V,area3,color4-H,color4-S,color4-V,area4,color5-H,color5-S,color5-V,area5,color6-H,color6-S,color6-V,area6,color7-H,color7-S,color7-V,area7,color8-H,color8-S,color8-V,area8,color9-H,color9-S,color9-V,area9,color10-H,color10-S,color10-V,area10,Sketch
19,Albrecht_Du?rer_1.jpg,0,0,0.67,0.2,0,0,0.62,0.17,0,0,0.58,0.15,0,0,0.71,0.13,0,0,0.53,0.13,0,0,0.47,0.1,0,0,0.4,0.06,0,0,0.32,0.03,0,0,0.21,0.02,0,0,0.09,0.01,Y
19,Albrecht_Du?rer_10.jpg,0,0,0.72,0.27,0,0,0.68,0.21,0,0,0.76,0.19,0,0,0.62,0.08,0,0,0.54,0.06,0,0,0.45,0.06,0,0,0.36,0.05,0,0,0.27,0.04,0,0,0.18,0.03,0,0,0.09,0.02,Y
19,Albrecht_Du?rer_104.jpg,0,0,0.82,0.23,0,0,0.78,0.22,0,0,0.75,0.18,0,0,0.69,0.1,0,0,0.64,0.08,0,0,0.57,0.06,0,0,0.49,0.05,0,0,0.4,0.04,0,0,0.29,0.02,0,0,0.16,0.01,Y
19,Albrecht_Du?rer_107.jpg,0,0,0.79,0.23,0,0,0.75,0.19,0,0,0.84,0.19,0,0,0.71,0.14,0,0,0.65,0.09,0,0,0.58,0.06,0,0,0.48,0.04,0,0,0.35,0.02,0,0,0.05,0.02,0,0,0.21,0.02,Y
19,Albrecht_Du?rer_11.jpg,0,0,0.99,0.15,0,0,0.73,0.14,0,0,0.68,0.14,0,0,0.62,0.13,0,0,0.55,0.11,0,0,0.79,0.1,0,0,0.47,0.09,0,0,0.38,0.07,0,0,0.3,0.05,0,0,0.2,0.02,Y
19,Albrecht_Du?rer_111.jpg,0,0,0.87,0.23,0,0,0.92,0.19,0,0,0.83,0.18,0,0,0.77,0.1,0,0,0.7,0.07,0,0,0.62,0.06,0,0,0.53,0.05,0,0,0.44,0.05,0,0,0.34,0.04,0,0,0.23,0.03,Y
19,Albrecht_Du?rer_113.jpg,0,0,0.74,0.19,0,0,0.68,0.15,0,0,0.78,0.13,0,0,0.47,0.1,0,0,0.42,0.1,0,0,0.62,0.09,0,0,0.35,0.09,0,0,0.55,0.07,0,0,0.29,0.06,0,0,0.2,0.03,Y
19,Albrecht_Du?rer_114.jpg,0,0,0.66,0.16,0,0,0.59,0.13,0,0,0.04,0.12,0,0,0.73,0.11,0,0,0.1,0.09,0,0,0.17,0.09,0,0,0.24,0.08,0,0,0.51,0.08,0,0,0.33,0.07,0,0,0.42,0.07,Y
19,Albrecht_Du?rer_116.jpg,0,0,0.85,0.19,0,0,0.92,0.16,0,0,0.79,0.16,0,0,0.73,0.14,0,0,0.65,0.11,0,0,0.56,0.09,0,0,0.47,0.06,0,0,0.36,0.04,0,0,0.25,0.03,0,0,0.11,0.02,Y
19,Albrecht_Du?rer_117.jpg,0,0,0.9,0.24,0,0,0.84,0.23,0,0,0.77,0.14,0,0,0.68,0.08,0,0,0.58,0.07,0,0,0.49,0.06,0,0,0.39,0.05,0,0,0.29,0.05,0,0,0.19,0.04,0,0,0.08,0.04,Y
19,Albrecht_Du?rer_118.jpg,0,0,0.42,0.23,0,0,0.38,0.18,0,0,0.47,0.16,0,0,0.33,0.13,0,0,0.29,0.1,0,0,0.24,0.07,0,0,0.54,0.06,0,0,0.65,0.03,0,0,0.15,0.03,0,0,0.77,0.02,Y
19,Albrecht_Du?rer_123.jpg,0,0,0.49,0.18,0,0,0.55,0.18,0,0,0.6,0.15,0,0,0.43,0.11,0,0,0.65,0.11,0,0,0.36,0.09,0,0,0.29,0.07,0,0,0.22,0.05,0,0,0.75,0.04,0,0,0.11,0.02,Y
19,Albrecht_Du?rer_126.jpg,0,0,0.84,0.19,0,0,0.79,0.15,0,0,0.89,0.14,0,0,0.73,0.13,0,0,0.67,0.1,0,0,0.61,0.09,0,0,0.53,0.07,0,0,0.44,0.06,0,0,0.35,0.05,0,0,0.25,0.02,Y
19,Albrecht_Du?rer_131.jpg,0,0,0.6,0.21,0,0,0.63,0.18,0,0,0.56,0.14,0,0,0.66,0.1,0,0,0.52,0.1,0,0,0.43,0.08,0,0,0.48,0.08,0,0,0.38,0.06,0,0,0.32,0.03,0,0,0.76,0.01,Y
19,Albrecht_Du?rer_133.jpg,0,0,0.87,0.24,0,0,0.9,0.22,0,0,0.83,0.17,0,0,0.94,0.15,0,0,0.78,0.07,0,0,0.7,0.05,0,0,0.61,0.04,0,0,0.5,0.03,0,0,0.39,0.02,0,0,0.25,0.01,Y
19,Albrecht_Du?rer_137.jpg,0,0,0.96,0.28,0,0,0.93,0.27,0,0,0.9,0.15,0,0,0.85,0.08,0,0,0.78,0.06,0,0,0.71,0.05,0,0,0.62,0.04,0,0,0.52,0.03,0,0,0.4,0.02,0,0,0.26,0.01,Y
19,Albrecht_Du?rer_138.jpg,94.62,0.28,0.37,0.18,91.3,0.29,0.31,0.18,97.24,0.26,0.44,0.14,87,0.31,0.25,0.12,102.5,0.19,0.5,0.11,102.86,0.2,0.42,0.11,77.65,0.37,0.18,0.06,105.71,0.14,0.6,0.04,93.33,0.09,0.76,0.03,72,0.45,0.09,0.02,Y
19,Albrecht_Du?rer_142.jpg,30,0.15,0.89,0.23,34.88,0.19,0.88,0.22,32.31,0.19,0.82,0.19,32.14,0.12,0.94,0.1,31.43,0.23,0.73,0.08,30.64,0.3,0.62,0.05,40,0.01,0.99,0.04,28.85,0.42,0.48,0.04,25.56,0.63,0.34,0.03,15.38,0.81,0.19,0.02,Y
19,Albrecht_Du?rer_144.jpg,0,0,0.71,0.2,0,0,0.65,0.15,0,0,0.78,0.14,0,0,0.57,0.13,0,0,0.49,0.1,0,0,0.4,0.09,0,0,0.88,0.08,0,0,0.3,0.06,0,0,0.2,0.04,0,0,0.09,0.02,Y
