id,name,genre,number_of_paintings,changes in number of paintings,row,col,x,y,append,rectangle-x1,rectangle-y1,rectwidth,rect-height
49,Jackson Pollock,Abstract Expressionism,12,,1,12,204,88,Abstract Expressionism,204,78,118,2
14,Peter Paul Rubens,Baroque,71,,12,6,812,88,Baroque,812,78,244,2
25,Caravaggio,Baroque,23,changed from 24 to 23,12,2,874,88,,,,,
27,Diego Velazquez,Baroque,55,changed from 56 to 55,11,5,896,88,,,,,
31,Rembrandt,Baroque,131,,12,11,948,88,,,,,
7,Andrei Rublev,Byzantine Art,43,changed from 44 to 43,6,8,988,694,Byzantine Art,988,684,78,2
13,Pablo Picasso,Cubism,216,from220 to 216,11,20,598,88,Cubism,598,78,198,2
22,Marc Chagall,"Cubism,Expressionism",120,,11,11,474,88,"Cubism,Expressionism",474,78,108,2
24,Sandro Botticelli,Early Renaissance,82,,5,17,750,370,Early Renaissance,750,360,168,2
0,Amedeo Modigliani,Expressionism,85,,11,8,338,88,Expressionism,338,78,120,2
1,Vasiliy Kandinskiy,Expressionism,43,from 44 to 43,11,4,420,88,,,,,
42,Paul Klee,"Expressionism,Surrealism,Bauhaus",93,from 94 to 93,7,14,346,234,"Expressionism,Surrealism,Bauhaus",346,224,138,2
26,Leonardo da Vinci,High Renaissance,70,from 72 to 70,5,15,750,608,High Renaissance,750,598,312,2
47,Raphael,High Renaissance,54,from 55 to 54,55,11,902,608,,,,,
48,Michelangelo,High Renaissance,25,,5,5,1014,608,,,,,
32,Titian,"High Renaissance,Mannerism",126,from 128 to 126,4,32,750,532,"High Renaissance,Mannerism",750,522,318,2
3,Claude Monet,Impressionism,32,,8,4,332,562,Impressionism,332,552,402,2
15,Pierre-Auguste Renoir,Impressionism,167,from 168 to 167,8,21,374,562,,,,,
20,Alfred Sisley,Impressionism,114,,8,15,586,562,,,,,
30,Edgar Degas,Impressionism,307,changed from 308 to 307,8,40,332,644,,,,,
35,Camille Pissarro,"Impressionism,Post-Impressionism",39,changed from 40 to 39,4,10,156,562,"Impressionism,Post-Impressionism",156,552,160,2
38,Paul Cezanne,"Impressionism,Post-Impressionism",23,from 24 to 23,4,6,258,562,,,,,
18,El Greco,Mannerism,43,changed from 44 to 43,4,11,906,456,Mannerism,906,446,108,2
2,Diego Rivera,Muralism,30,changed from 31 to 30,8,4,1032,244,Muralism,1032,234,38,2
43,Piet Mondrian,Neoplasticism,41,from 42 to 41,6,7,750,694,Neoplasticism,750,684,68,2
10,Hieronymus Bosch,Northern Renaissance,68,from 69 to 68,14,5,500,370,Northern Renaissance,500,360,234,2
19,Albrecht Durer,Northern Renaissance,142,from 143 to 142,15,10,552,370,,,,,
21,Pieter Bruegel,Northern Renaissance,65,from 67 to 65,13,5,654,370,,,,,
29,Jan van Eyck,Northern Renaissance,40,from 41 to 40,14,3,706,370,,,,,
45,Andy Warhol,Pop Art,80,,6,14,834,694,Pop Art,834,684,138,2
8,Vincent van Gogh,Post-Impressionism,439,,18,25,60,346,Post-Impressionism,60,336,270,2
40,Henri Rousseau,Post-Impressionism,35,,18,2,312,346,,,,,
33,Henri de Toulouse-Lautrec,"Post-Impressionism,Art Nouveau",41,,3,14,346,438,"Post-Impressionism,Art Nouveau",346,428,138,2
28,Henri Matisse,"Post-Impressionism,Fauvism",92,from 93 to 92,7,14,346,340,"Post-Impressionism,Fauvism",346,330,138,2
41,Georges Seurat,"Post-Impressionism,neo-impressionism",22,,2,13,346,496,"Post-Impressionism,neo-impressionism",346,486,108,2
23,Giotto di Bondone,"Proto Renaissance,Late Gothic",59,changed from 60 to 59,4,15,750,456,"Proto Renaissance,Late Gothic",750,446,148,2
34,Gustave Courbet,Realism,29,from 30 to 29,5,6,144,638,Realism,144,628,58,2
6,Edouard Manet,"Realism,Impressionism",44,changed from 45 to 44,5,10,218,638,"Realism,Impressionism",218,628,98,2
16,Francisco Goya,Romanticism,119,146 to 119,9,14,812,244,Romanticism,812,234,202,2
36,William Turner,Romanticism,32,from 33 to 32,8,4,954,244,,,,,
39,Eugene Delacroix,Romanticism,16,,8,2,996,244,,,,,
11,Kazimir Malevich,Suprematism,63,,5,13,934,370,Suprematism,934,360,128,2
4,Rene Magritte,Surrealism,97,,10,10,500,234,Surrealism,500,224,294,2
5,Salvador Dali,Surrealism,70,,10,7,602,234,,,,,
17,Frida Kahlo,Surrealism,60,,10,6,674,234,,,,,
44,Joan Miro,Surrealism,50,from 51 to 50,9,6,736,234,,,,,
12,Mikhail Vrubel,Symbolism,86,,10,9,242,210,Symbolism,242,200,88,2
9,Gustav Klimt,"Symbolism,Art Nouveau",58,from 59 to 58,4,15,50,134,"Symbolism,Art Nouveau",50,124,148,2
37,Edvard Munch,"Symbolism,Expressionism",34,,4,11,214,134,"Symbolism,Expressionism",214,124,108,2
46,Paul Gauguin,"Symbolism,Post-Impressionism",155,from 156 to 155,10,17,58,210,"Symbolism,Post-Impressionism",58,200,168,2
