artist_id,artists_name,file_name,name_of_pic,year_of_pic
19,Albrecht_Dürer,Albrecht_Dürer_1.jpg,Head of the Mark,1526
19,Albrecht_Dürer,Albrecht_Dürer_2.jpg,Madonna and child on the grassy bank,1515
19,Albrecht_Dürer,Albrecht_Dürer_5.jpg,The Death of the VIrgin,1511
19,Albrecht_Dürer,Albrecht_Dürer_10.jpg,Portrait of a young woman,1503
19,Albrecht_Dürer,Albrecht_Dürer_11.jpg,Assumption and Coronation of the Virgin,Unknown
19,Albrecht_Dürer,Albrecht_Dürer_17.jpg,Arm of Eve,1507
19,Albrecht_Dürer,Albrecht_Dürer_18.jpg,Head of an apostle,1508
19,Albrecht_Dürer,Albrecht_Dürer_19.jpg,Portrait of Caspar tower and a river landscape,1520
19,Albrecht_Dürer,Albrecht_Dürer_20.jpg,Portrait of Ulrich Starck,1527
19,Albrecht_Dürer,Albrecht_Dürer_22.jpg,St. Jerome in His Study,1511
19,Albrecht_Dürer,Albrecht_Dürer_23.jpg,Portrait of Frederick the Wise,1524
19,Albrecht_Dürer,Albrecht_Dürer_28.jpg,Mary with child wound on the grassy bank,1514
19,Albrecht_Dürer,Albrecht_Dürer_30.jpg,Abduction,Unknown
19,Albrecht_Dürer,Albrecht_Dürer_31.jpg,Unknown,Unknown
19,Albrecht_Dürer,Albrecht_Dürer_36.jpg,Bacchanal with Silenus,1481
19,Albrecht_Dürer,Albrecht_Dürer_39.jpg,Reading Maria,Unknown
19,Albrecht_Dürer,Albrecht_Dürer_41.jpg,Portrait of Jobst Plankfelt,1520
19,Albrecht_Dürer,Albrecht_Dürer_45.jpg,Nuremberg woman in house dress,1501
19,Albrecht_Dürer,Albrecht_Dürer_46.jpg,Christ,Unknown
19,Albrecht_Dürer,Albrecht_Dürer_47.jpg,Study of a Man with a Drill,1496
19,Albrecht_Dürer,Albrecht_Dürer_51.jpg,Coat of arms with open man behind,1495
19,Albrecht_Dürer,Albrecht_Dürer_52.jpg,Abduction of Proserpine on a Unicorn,1516
19,Albrecht_Dürer,Albrecht_Dürer_53.jpg,The small chariot,1512
19,Albrecht_Dürer,Albrecht_Dürer_58.jpg,Unknown,Unknown
19,Albrecht_Dürer,Albrecht_Dürer_68.jpg,Angel Fair,1500
19,Albrecht_Dürer,Albrecht_Dürer_69.jpg,Madonna and Child saints and angels playing,1522
19,Albrecht_Dürer,Albrecht_Dürer_71.jpg,Study sheet with six nude figures,1515
19,Albrecht_Dürer,Albrecht_Dürer_72.jpg,Table and cans,Unknown
19,Albrecht_Dürer,Albrecht_Dürer_77.jpg,Madonna Child Music Making Angel,1519
19,Albrecht_Dürer,Albrecht_Dürer_80.jpg,Female Nude,1506
19,Albrecht_Dürer,Albrecht_Dürer_81.jpg,Virgin and Child on the Crescent Moon with a Diadem,1514
19,Albrecht_Dürer,Albrecht_Dürer_83.jpg,St George,Unknown
19,Albrecht_Dürer,Albrecht_Dürer_84.jpg,Madonna and Child with musical angels,1485
19,Albrecht_Dürer,Albrecht_Dürer_85.jpg,The Last Supper,1523
