id,artist_name,year_of_birth,year_of_death,genre,nationality,filename,name_of_pic,year_of_pic,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10,Sketch,color1-H,color1-S,color1-V,color2-H,color2-S,color2-V,color3-H,color3-S,color3-V,color4-H,color4-S,color4-V,color5-H,color5-S,color5-V,color6-H,color6-S,color6-V,color7-H,color7-S,color7-V,color8-H,color8-S,color8-V,color9-H,color9-S,color9-V,color10-H,color10-S,color10-V,color_theory_tag,color_intensity,amount_of_main_color,similar_pics
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_1.jpg,Head of the Mark,1526,"#aaaaaa:0.2:(170, 170, 170)","#9f9f9f:0.17:(159, 159, 159)","#949494:0.15:(148, 148, 148)","#b6b6b6:0.13:(182, 182, 182)","#878787:0.13:(135, 135, 135)","#787878:0.1:(120, 120, 120)","#666666:0.059:(102, 102, 102)","#515151:0.033:( 81,  81,  81)","#363636:0.016:( 54,  54,  54)","#171717:0.0088:( 23,  23,  23)",Y,0.00,0.00,0.67,0.00,0.00,0.62,0.00,0.00,0.58,0.00,0.00,0.71,0.00,0.00,0.53,0.00,0.00,0.47,0.00,0.00,0.40,0.00,0.00,0.32,0.00,0.00,0.21,0.00,0.00,0.09,NULL,0.0,5,"Albrecht_Dürer_194.jpg,Albrecht_Dürer_195.jpg,Albrecht_Dürer_218.jpg,Albrecht_Dürer_244.jpg,Albrecht_Dürer_326.jpg,Vincent_van_Gogh_290.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_10.jpg,Portrait of a young woman,1503,"#b7b7b7:0.27:(183, 183, 183)","#adadad:0.21:(173, 173, 173)","#c1c1c1:0.19:(193, 193, 193)","#9e9e9e:0.084:(158, 158, 158)","#8a8a8a:0.061:(138, 138, 138)","#737373:0.057:(115, 115, 115)","#5c5c5c:0.047:( 92,  92,  92)","#454545:0.039:( 69,  69,  69)","#2f2f2f:0.027:( 47,  47,  47)","#171717:0.016:( 23,  23,  23)",Y,0.00,0.00,0.72,0.00,0.00,0.68,0.00,0.00,0.76,0.00,0.00,0.62,0.00,0.00,0.54,0.00,0.00,0.45,0.00,0.00,0.36,0.00,0.00,0.27,0.00,0.00,0.18,0.00,0.00,0.09,NULL,0.0,3,"Albrecht_Dürer_225.jpg,Albrecht_Dürer_272.jpg,Albrecht_Dürer_39.jpg,Edgar_Degas_476.jpg,Albrecht_Dürer_144.jpg,Albrecht_Dürer_276.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_104.jpg,Erin Nuremberg and Venetian,1495,"#d2d2d2:0.23:(210, 210, 210)","#c8c8c8:0.22:(200, 200, 200)","#bfbfbf:0.18:(191, 191, 191)","#b1b1b1:0.1:(177, 177, 177)","#a2a2a2:0.077:(162, 162, 162)","#929292:0.061:(146, 146, 146)","#7e7e7e:0.048:(126, 126, 126)","#666666:0.035:(102, 102, 102)","#4a4a4a:0.024:( 74,  74,  74)","#292929:0.014:( 41,  41,  41)",Y,0.00,0.00,0.82,0.00,0.00,0.78,0.00,0.00,0.75,0.00,0.00,0.69,0.00,0.00,0.64,0.00,0.00,0.57,0.00,0.00,0.49,0.00,0.00,0.40,0.00,0.00,0.29,0.00,0.00,0.16,NULL,0.0,3,"Albrecht_Dürer_72.jpg,Marc_Chagall_83.jpg,Albrecht_Dürer_209.jpg,Albrecht_Dürer_45.jpg,Albrecht_Dürer_80.jpg,Pieter_Bruegel_112.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_107.jpg,"Studies on a great ""picture of Mary"" Angel playing",1521,"#cacaca:0.23:(202, 202, 202)","#c0c0c0:0.19:(192, 192, 192)","#d7d7d7:0.19:(215, 215, 215)","#b5b5b5:0.14:(181, 181, 181)","#a7a7a7:0.089:(167, 167, 167)","#939393:0.058:(147, 147, 147)","#7a7a7a:0.035:(122, 122, 122)","#5a5a5a:0.023:( 90,  90,  90)","#0e0e0e:0.017:( 14,  14,  14)","#363636:0.016:( 54,  54,  54)",Y,0.00,0.00,0.79,0.00,0.00,0.75,0.00,0.00,0.84,0.00,0.00,0.71,0.00,0.00,0.65,0.00,0.00,0.58,0.00,0.00,0.48,0.00,0.00,0.35,0.00,0.00,0.05,0.00,0.00,0.21,NULL,0.0,4,"Vincent_van_Gogh_192.jpg,Albrecht_Dürer_36.jpg,Albrecht_Dürer_46.jpg,Leonardo_da_Vinci_30.jpg,Mikhail_Vrubel_158.jpg,Vincent_van_Gogh_844.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_11.jpg,Assumption and Coronation of the Virgin,Unknown,"#fcfcfc:0.15:(252, 252, 252)","#bbbbbb:0.14:(187, 187, 187)","#adadad:0.14:(173, 173, 173)","#9e9e9e:0.13:(158, 158, 158)","#8b8b8b:0.11:(139, 139, 139)","#cacaca:0.098:(202, 202, 202)","#777777:0.093:(119, 119, 119)","#626262:0.069:( 98,  98,  98)","#4c4c4c:0.046:( 76,  76,  76)","#323232:0.023:( 50,  50,  50)",Y,0.00,0.00,0.99,0.00,0.00,0.73,0.00,0.00,0.68,0.00,0.00,0.62,0.00,0.00,0.55,0.00,0.00,0.79,0.00,0.00,0.47,0.00,0.00,0.38,0.00,0.00,0.30,0.00,0.00,0.20,NULL,0.0,5,"Andy_Warhol_101.jpg,Andy_Warhol_180.jpg,Kazimir_Malevich_102.jpg,Mikhail_Vrubel_139.jpg,Mikhail_Vrubel_89.jpg,Mikhail_Vrubel_167.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_111.jpg,St. Paul,1514,"#dfdfdf:0.23:(223, 223, 223)","#eaeaea:0.19:(234, 234, 234)","#d3d3d3:0.18:(211, 211, 211)","#c4c4c4:0.1:(196, 196, 196)","#b2b2b2:0.073:(178, 178, 178)","#9d9d9d:0.056:(157, 157, 157)","#888888:0.054:(136, 136, 136)","#707070:0.049:(112, 112, 112)","#565656:0.042:( 86,  86,  86)","#3b3b3b:0.03:( 59,  59,  59)",Y,0.00,0.00,0.87,0.00,0.00,0.92,0.00,0.00,0.83,0.00,0.00,0.77,0.00,0.00,0.70,0.00,0.00,0.62,0.00,0.00,0.53,0.00,0.00,0.44,0.00,0.00,0.34,0.00,0.00,0.23,NULL,0.0,3,"Albrecht_Dürer_180.jpg,Albrecht_Dürer_306.jpg,Albrecht_Dürer_77.jpg,Albrecht_Dürer_84.jpg,Alfred_Sisley_159.jpg,Marc_Chagall_47.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_113.jpg,Portrait of Jakob Fugger,Unknown,"#bcbcbc:0.19:(188, 188, 188)","#aeaeae:0.15:(174, 174, 174)","#c8c8c8:0.13:(200, 200, 200)","#797979:0.099:(121, 121, 121)","#6a6a6a:0.098:(106, 106, 106)","#9e9e9e:0.093:(158, 158, 158)","#5a5a5a:0.09:( 90,  90,  90)","#8b8b8b:0.07:(139, 139, 139)","#494949:0.058:( 73,  73,  73)","#343434:0.025:( 52,  52,  52)",Y,0.00,0.00,0.74,0.00,0.00,0.68,0.00,0.00,0.78,0.00,0.00,0.47,0.00,0.00,0.42,0.00,0.00,0.62,0.00,0.00,0.35,0.00,0.00,0.55,0.00,0.00,0.29,0.00,0.00,0.20,NULL,0.0,3,"Albrecht_Dürer_179.jpg,Albrecht_Dürer_201.jpg,Albrecht_Dürer_202.jpg,Pablo_Picasso_49.jpg,Pablo_Picasso_36.jpg,Joan_Miro_9.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_114.jpg,Portrait of a Windisch farmer,1505,"#a8a8a8:0.16:(168, 168, 168)","#969696:0.13:(150, 150, 150)","#0a0a0a:0.12:( 10,  10,  10)","#bababa:0.11:(186, 186, 186)","#1a1a1a:0.092:( 26,  26,  26)","#2b2b2b:0.089:( 43,  43,  43)","#3e3e3e:0.084:( 62,  62,  62)","#828282:0.081:(130, 130, 130)","#545454:0.073:( 84,  84,  84)","#6c6c6c:0.066:(108, 108, 108)",Y,0.00,0.00,0.66,0.00,0.00,0.59,0.00,0.00,0.04,0.00,0.00,0.73,0.00,0.00,0.10,0.00,0.00,0.17,0.00,0.00,0.24,0.00,0.00,0.51,0.00,0.00,0.33,0.00,0.00,0.42,NULL,0.0,4,"Pieter_Bruegel_60.jpg,Albrecht_Dürer_194.jpg,Albrecht_Dürer_195.jpg,Albrecht_Dürer_218.jpg,Albrecht_Dürer_326.jpg,Vincent_van_Gogh_290.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_116.jpg,Mass of Cardinal Albrecht of Brandenburg in the Abbey Church Hall,1523,"#dadada:0.19:(218, 218, 218)","#eaeaea:0.16:(234, 234, 234)","#cacaca:0.16:(202, 202, 202)","#b9b9b9:0.14:(185, 185, 185)","#a6a6a6:0.11:(166, 166, 166)","#909090:0.088:(144, 144, 144)","#777777:0.061:(119, 119, 119)","#5d5d5d:0.043:( 93,  93,  93)","#404040:0.029:( 64,  64,  64)","#1c1c1c:0.015:( 28,  28,  28)",Y,0.00,0.00,0.85,0.00,0.00,0.92,0.00,0.00,0.79,0.00,0.00,0.73,0.00,0.00,0.65,0.00,0.00,0.56,0.00,0.00,0.47,0.00,0.00,0.36,0.00,0.00,0.25,0.00,0.00,0.11,NULL,0.0,5,"Francisco_Goya_173.jpg,Pieter_Bruegel_30.jpg,Albrecht_Dürer_47.jpg,Francisco_Goya_64.jpg,Francisco_Goya_78.jpg,Marc_Chagall_65.jpg"
19,Albrecht Dürer,1471,1528,Northern Renaissance,German,Albrecht_Dürer_117.jpg,Blessing Savior,Unknown,"#e6e6e6:0.24:(230, 230, 230)","#d6d6d6:0.23:(214, 214, 214)","#c5c5c5:0.14:(197, 197, 197)","#adadad:0.078:(173, 173, 173)","#939393:0.067:(147, 147, 147)","#7c7c7c:0.061:(124, 124, 124)","#646464:0.052:(100, 100, 100)","#4b4b4b:0.046:( 75,  75,  75)","#303030:0.04:( 48,  48,  48)","#141414:0.038:( 20,  20,  20)",Y,0.00,0.00,0.90,0.00,0.00,0.84,0.00,0.00,0.77,0.00,0.00,0.68,0.00,0.00,0.58,0.00,0.00,0.49,0.00,0.00,0.39,0.00,0.00,0.29,0.00,0.00,0.19,0.00,0.00,0.08,NULL,0.0,3,"Albrecht_Dürer_221.jpg,Albrecht_Dürer_241.jpg,Kazimir_Malevich_91.jpg,Albrecht_Dürer_328.jpg,Albrecht_Dürer_87.jpg,Francisco_Goya_132.jpg"
