id,name,year_of_birth,number_of_paintings,changes in number of paintings,row,col,x,y,,y-original
23,Giotto di Bondone,1266,59,changed from 60 to 59,10,6,116,66,,90
7,Andrei Rublev,1360,43,changed from 44 to 43,11,4,182,66,,90
29,Jan van Eyck,1395,40,from 41 to 40,11,4,228,66,,90
24,Sandro Botticelli,1445,82,,11,8,274,66,,90
10,Hieronymus Bosch,1450,68,from 69 to 68,10,7,360,66,,90
26,Leonardo da Vinci,1452,70,from 72 to 70,11,7,436,66,,90
19,Albrecht Durer,1471,142,from 143 to 142,11,13,512,66,,90
48,Michelangelo,1475,25,,7,4,648,66,,90
47,Raphael,1483,54,from 55 to 54,11,5,694,66,,90
32,Titian,1488,126,from 128 to 126,11,12,750,66,,90
21,Pieter Bruegel,1525,65,from 67 to 65,10,7,876,66,,90
18,El Greco,1541,43,changed from 44 to 43,11,4,952,66,,90
25,Caravaggio,1571,23,changed from 24 to 23,6,4,116,208,,232
14,Peter Paul Rubens,1577,71,,12,6,162,208,,232
27,Diego Velazquez,1599,55,changed from 56 to 55,12,5,228,208,,232
31,Rembrandt,1606,131,,12,11,284,208,,232
16,Francisco Goya,1746,119,146 to 119,10,13,400,208,,232
36,William Turner,1775,32,from 33 to 32,9,4,536,208,,232
39,Eugene Delacroix,1798,16,,4,4,582,208,,232
34,Gustave Courbet,1819,29,from 30 to 29,8,4,628,208,,232
35,Camille Pissarro,1830,39,changed from 40 to 39,10,4,674,208,,232
6,Edouard Manet,1832,44,changed from 45 to 44,12,4,720,208,,232
30,Edgar Degas,1834,307,changed from 308 to 307,12,26,766,208,,232
20,Alfred Sisley,1839,114,,12,10,116,360,,384
38,Paul Cezanne,1839,23,from 24 to 23,6,4,222,360,,384
3,Claude Monet,1840,32,,8,4,268,360,,384
15,Pierre-Auguste Renoir,1841,167,from 168 to 167,12,14,314,360,,384
40,Henri Rousseau,1844,35,,9,4,460,360,,384
46,Paul Gauguin,1848,155,from 156 to 155,12,14,506,360,,384
8,Vincent van Gogh,1853,439,,12,37,652,360,,384
12,Mikhail Vrubel,1856,86,,10,9,116,512,,536
41,Georges Seurat,1859,22,,6,4,212,512,,536
9,Gustav Klimt,1862,58,from 59 to 58,10,6,258,512,,536
37,Edvard Munch,1863,34,,9,4,324,512,,536
33,Henri de Toulouse-Lautrec,1864,41,,9,5,370,512,,536
1,Vasiliy Kandinskiy,1866,43,from 44 to 43,10,5,426,512,,536
28,Henri Matisse,1869,92,from 93 to 92,10,10,482,512,,536
43,Piet Mondrian,1872,41,from 42 to 41,9,5,588,512,,536
11,Kazimir Malevich,1879,63,,9,7,644,512,,536
42,Paul Klee,1879,93,from 94 to 93,11,9,720,512,,536
13,Pablo Picasso,1881,216,from220 to 216,11,20,816,512,,536
0,Amedeo Modigliani,1884,85,,8,12,116,654,,678
2,Diego Rivera,1886,30,changed from 31 to 30,8,4,242,654,,678
22,Marc Chagall,1887,120,,8,17,288,654,,678
44,Joan Miro,1893,50,from 51 to 50,8,7,464,654,,678
4,Rene Magritte,1898,97,,8,13,540,654,,678
5,Salvador Dali,1904,70,,8,9,676,654,,678
17,Frida Kahlo,1907,60,,8,8,772,654,,678
49,Jackson Pollock,1912,12,,3,4,858,654,,678
45,Andy Warhol,1928,80,,8,10,904,654,,678
